event,start,end,multi_year_spans
William Montagu-Pollock was first appointed to be Ambassador to Peru,1953-12,,
Willy Scheepers played for PSV Eindhoven,1978,1981,
Mladen Milinković served as the head coach of FK Budućnost Podgorica for the first time,2019-11-09,2021-07-30,
William Dougal Christie represented Weymouth as a Member of Parliament,1842-04,1847-11,
Per-Kristian Foss was a Member of the Norwegian Parliament,1981-10-01,2013-09-30,
Volodymyr Kryzhanivsky served as the first Ambassador of Ukraine to Russia,1992-03-11,1994-09-12,
Friedrich Conrad Dietrich Wyneken was the president of Lutheran Church–Missouri Synod,1850,1864,
Thomas Gerald Room was the dean of the faculty of science at the University of Sydney,,,1952~1956; 1960~1965
David Steel was a Member of the Scottish Parliament for Lothians,1999-05-06,2003-03-31,
Ahmed Reda Tagnaouti played for Nahdat Berkane,2015,2017,
Jack Mustard played for Preston North End Football Club,1932,1933,
the American mathematician Philip Franklin was alive,1898-10-05,1965-01-27,
Macchambes Younga-Mouhani played for Borussia Mönchengladbach,1995,1996,
Hanns Blaschke was the mayor of Vienna,1943-12-30,1945-04-06,
Carrie Lam served as the Chief Executive of Hong Kong,2017-07-01,2022-06-30,
Jonathan Bennett worked at the University of Cambridge,1956,1968,
Yasuko Komiyama belonged to the Party of Hope,2017,2018,
Emma Bonino was Minister of European Affairs and International Trade,2006-05-17,2008-05-07,
Antonella Soldo was the president of the Italian Radicals party,2016,2018,
Peter Corke served as editor-in-chief of the IEEE's Robotics & Automation magazine,2009,2013,
Kyriakos Velopoulos was a member of the Popular Orthodox Rally party,2004,2012,
Laura Lott served as president and CEO of the American Alliance of Museums,2015-06,2023-06,
Alexander Grothendieck worked for the Institut des hautes études scientifiques,1958,1970,
Davor Jozić played for Sarajevo or Club América,,,1979~1987; 1993~1994
Cyril Smith was a Member of Parliament for Rochdale,1972-10-26,1992-03-16,
Warren Jabali was selected as an American Basketball Association (ABA) All-Star,,,1970; 1972; 1973; 1974
Marinos Ouzounidis worked in a managerial role for Panathinaikos,2016-12,2018-05,
Mark Clinton was a substitute member of the Parliamentary Assembly of the Council of Europe,1968-01-29,1969-09-01,
François Baroin was the French Minister of the Budget,2010-03-21,2011-07-19,
Pedro Alejandrino del Solar was the Prime Minister of Peru,,,1886; 1887; 1889; 1890
Chris Stone was the husand of Sophie Wilmès,2002,2023,
Willi Dehnkamp served as the 3rd President of the Senate and Mayor of Bremen,1965,1967,
David Newth was employed by the University of Glasgow,1965,1981,
"William Hayes Fisher, 1st Baron Downham served as the Minister of Information",1918-11-04,1919-01-10,
Thierry Roland worked for France Inter,1969,1975,
Louis Tomlinson Benezet was a president of a U.S. higher-education institution,1948,1976,
Siim Kallas served as Prime Minister of Estonia,2002-01-28,2003-04-10,
Alexander Farnerud played for Brøndby IF,2008,2011,
John George Adami served in Royal Canadian Army Medical Corps,1914,1918,
Volodymyr Ivanovych Radchenko was the Secretary of the National Security and Defense Council of Ukraine,2003-09-02,2005-01-20,
Eduardo Hernández-Sonseca played for Club Joventut Badalona,2007,2010,
Alessandro Armenise played for A.C. Martina or Cremonese,,,2007; 2008; 2012; 2013
François Pachet started working for Spotify as a director of Spotify's Creator Research Technology Lab in Paris,2017,,
McKenzie Milton played for UCF Knights football,2016,2020,
Charles Colson was the Director of the White House Office of Public Liaison,1970-07-09,1973-03-10,
Carles Miquel i Ruzafa was the mayor of Sant Fost de Campsentelles,2019-09-09,2021-03-30,
Summer Olympic Games took place in Great Britain as of 2025,,,1908; 1948; 2012
Edward Stanley was the Secretary of State for Foreign Affairs for United Kingdom,,,1866~1868; 1874~1878
David McClarty was a Member of the Northern Ireland Assembly for East Londonderry,1998-06-25,2014-04-18,
"Jürgen Schmidhuber worked for Università della Svizzera Italiana in Lugano, Switzerland",2009,2021,
